sample_id,topic_name,topic_text
T015_S0058,15_phrase google assistant_alarm activated_activate wink_google assistant,"When You exit an area from Location, do Activate shortcut using Wink: Shortcuts. When iPhone senses you leave home, turn off lights. When iPhone senses you leave home, turn off lights using Wink shortcuts. Create a wink shortcut in the Wink app to use here."
T015_S0059,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Arriving soon from BMW Labs, do Prioritize Device using Google Wifi. When BMW is arriving soon have OnHub prioritize a device. Have OnHub prioritize a device when a BMW is arriving."
T015_S0060,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Device Connects from Google Wifi, do Activate a scene using Bang & Olufsen's BeoLink Gateway. When a device connects to OnHub start a BeoLink scene. Control BeoLink with OnHub."
T015_S0061,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Device is unplugged from Android Battery, do Prioritize Device using Google Wifi. When you unplug your phone from charging, give it Wi-Fi priority. Automatically prioritize your phone when it is disconnected from chargeAvailable for Android devices only."
T015_S0062,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Current condition changes to from Weather Underground, do Activate shortcut using Wink: Shortcuts. Wink Lights on When Raining Between 4pm and Sunset. 1Setup a robot to turn on selected lights between certain hours (I chose 4pm to sunset) with motion detection (you need a motion detector).2Create an on shortcut for the above robot.3Create an off shortcut for the above robot.4Select this Applet and select the ""on"" shortcut.5Create another Applet to select the ""off"" robot everyday at 11:59pm to reset this Applet."
T015_S0063,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Sunset from Weather Underground, do Activate shortcut using Wink: Shortcuts. Turn Lights on at Sunset. Select the wink shortcut to switch the lights on"
T015_S0064,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Every day at from Date & Time, do Prioritize Device using Google Wifi. At a select time every day, prioritize a certain device. Schedule OnHub to prioritize a device at a certain time every day."
T015_S0065,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Event from search starts from Google Calendar, do Activate shortcut using Wink: Shortcuts. Use Google Calendar for a Wink Light Schedule. Wink home lighting control schedules can be moved to a Gmail calendarThis makes it easy to make adjustments to a specific day like when you want to let your kids sleep in or you want to keep your lights set during a party Create a new ""Lights"" calendar to keep the lighting events separate from normal calendar items You can hide this calendar after your lighting schedule is set.Add recurring events to the calendar like ""morning."" Then use an Applet like this to trigger a Wink shortcut like ""Morning Mode."" Similar Applets can be created to trigger Wink shortcuts like ""Home"" ""Sleep Mode"" or ""All Off."""
T015_S0066,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Device Connects from Google Wifi, do Start activity using Harmony. When a device connects to OnHub start Harmony activity. Control Harmony activities with OnHub."
T015_S0067,15_phrase google assistant_alarm activated_activate wink_google assistant,"When New sound or motion event from Nest Cam, do Prioritize Device using Google Wifi. If new sound or motion event, then prioritize Nest Cam on OnHub. Prioritize Nest Cam on OnHub when it notices anything."
T015_S0068,15_phrase google assistant_alarm activated_activate wink_google assistant,"When You enter an area from Location, do Activate shortcut using Wink: Shortcuts. When Android senses your home, turn on lights. When your Android phone senses you are home, trigger Wink to turn on your lights. Tips: 1) Use Wink compatible lights. 2) Use the Wink HUB to allow your smart products to work together. 3) Create a Shortcut in the Wink App to turn on lights, then use IFTTT to trigger this shortcut when your Android phone senses you are home."
T015_S0069,15_phrase google assistant_alarm activated_activate wink_google assistant,"When Mode changed from abode, do Activate shortcut using Wink: Shortcuts. If Abode mode changed to home, then dim front lights to 1%. Create a group in Wink off all the lights you would like dimmedThe create a shortcut and set the brightness level"
T015_S0070,15_phrase google assistant_alarm activated_activate wink_google assistant,"When A device is turned off from HomeSeer, do Activate shortcut using Wink: Shortcuts. Grandma's wink light. easy way to control wink light in Homeseer"
T015_S0071,15_phrase google assistant_alarm activated_activate wink_google assistant,"When You exit an area from Location, do Activate shortcut using Wink: Shortcuts. Turn off lights when I leave home area. Must create an ""all lights off"" shortcut in the Wink app first."
T015_S0072,15_phrase google assistant_alarm activated_activate wink_google assistant,"When You exit an area from Location, do Activate shortcut using Wink: Shortcuts. If you exit a location then turn off lights. If you exit a location then turn off lights"
T015_S0073,15_phrase google assistant_alarm activated_activate wink_google assistant,"When You enter an area from Location, do Activate shortcut using Wink: Shortcuts. When iPhone senses you're home, turn on lights. When your iPhone senses you are home, trigger Wink to turn on your lights. Tips: 1) Use Wink compatible lights. 2) Use the Wink HUB to allow your smart products to work together. 3) Create a Shortcut in the Wink App to turn on lights, then use IFTTT to trigger this shortcut when your iPhone senses you are home."
